"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Mon Aug 14 14:36:16 GMT 2023","Mon Aug 14 14:36:16 GMT 2023","49","api","stake-lifecycle","","","","get Stake De Registrations",""
"failed","Mon Aug 14 14:36:15 GMT 2023","Mon Aug 14 14:36:15 GMT 2023","82","api","staking-lifecycle","","","","Get stake key report history by stake key",""
"passed","Mon Aug 14 14:36:16 GMT 2023","Mon Aug 14 14:36:16 GMT 2023","81","api","stakes","","","","Get stake balance analytics",""
"passed","Mon Aug 14 14:36:20 GMT 2023","Mon Aug 14 14:36:20 GMT 2023","121","api","delegations","","","","get Data For Pool Detail",""
"passed","Mon Aug 14 14:36:19 GMT 2023","Mon Aug 14 14:36:20 GMT 2023","314","api","delegations","","","","Find Top(default is 3) Delegation Pool order by pool size",""
"passed","Mon Aug 14 14:36:14 GMT 2023","Mon Aug 14 14:36:14 GMT 2023","38","api","txs","","","","Get tx contract detail by txHash and contract address(optional)",""
"passed","Mon Aug 14 14:36:17 GMT 2023","Mon Aug 14 14:36:17 GMT 2023","34","api","stakes","","","","Get all address of stake",""
"failed","Mon Aug 14 14:36:16 GMT 2023","Mon Aug 14 14:36:16 GMT 2023","62","api","stake-lifecycle","","","","get Detail Withdrawal",""
"passed","Mon Aug 14 14:36:13 GMT 2023","Mon Aug 14 14:36:13 GMT 2023","142","api","epochs","","","","Get block list of epoch by its no",""
"failed","Mon Aug 14 14:36:17 GMT 2023","Mon Aug 14 14:36:17 GMT 2023","44","api","stakes","","","","Get a stake detail by stake key",""
"passed","Mon Aug 14 14:36:13 GMT 2023","Mon Aug 14 14:36:13 GMT 2023","100","api","epochs","","","","Get a epoch detail by its no",""
"passed","Mon Aug 14 14:36:14 GMT 2023","Mon Aug 14 14:36:14 GMT 2023","95","api","staking-lifecycle","","","","Generate stake key report",""
"passed","Mon Aug 14 14:36:16 GMT 2023","Mon Aug 14 14:36:16 GMT 2023","85","api","stakes","","","","get Data For Stake De Registration",""
"passed","Mon Aug 14 14:36:20 GMT 2023","Mon Aug 14 14:36:20 GMT 2023","291","api","delegations","","","","get Epoch List For Pool Detail",""
